Column1,Column2,Column3
1.22,67.62,1
1.23,70.3,1
0.3,70.95,1
0.03,71.01,0
-0.48,68.25,1
0.2,68.79,0
-1.33,61.36,0
-2.5,50.47,0
-1.24,46.19,1
2.43,54.25,0
-2.09,47.5,0
-1.16,44.28,1
0.29,45.28,1
1.53,50.32,0
-0.69,48.13,0
-2.13,42.1,0
-2.21,37.03,0
-0.36,36.27,1
0.8,39.19,0
-2,34.84,1
0.26,35.8,1
0.8,38.86,1
2.37,46.96,0
-0.8,44.76,0
-1.86,40.08,0
-3.6,33.01,1
3.97,44.25,0
-3.26,38.33,1
0.57,39.79,0
-1.18,37.77,0
0.2,34.61,0
-3.31,29.72,1
1.36,33.71,0
-0.3,33.25,0
-4.26,27.56,0
-3.63,23.96,1
1.73,28.58,0
-0.77,27.75,1
0.01,27.79,0
-1.11,26.52,0
-2.1,24.3,1
0.39,25.53,1
7.21,43.73,0
-0.85,42.32,1
3.15,53.2,0
-0.81,51.42,0
-0.31,50.71,1
1.1,53.14,0
-0.69,51.4,1
0.16,51.78,0
-1.76,47.28,0
-6.44,35.41,1
1.57,39.16,0
-2.56,35.48,0
-0.64,34.63,1
2.18,39.9,0
-0.44,39.2,0
-1.73,36.5,0
-3.76,31.5,1
1.77,35.8,1
2.9,42.3,0
-1.42,40.1,0
-0.87,38.79,0
-0.46,38.08,1
0.4,37.38,0
-1.06,35.57,1
-1.26,50.82,0
-2.79,45.25,0
-0.59,44.18,1
0.27,44.82,0
-1.56,41.82,1
1.24,44.92,0
-0.61,43.67,0
-3.57,37.2,0
-3.15,32.74,1
4.15,42.24,0
-0.67,41.18,0
1.83,46.86,0
-12.36,30.28,0
-2.36,28.46,1
2.26,32.54,1
1.88,35.88,0
-0.31,35.55,0
-0.29,35.24,0
-0.41,34.77,0
-2.49,32,1
3.51,39.16,0
-0.11,39.02,1
2.38,43.8,1
1.44,46.61,1
1.04,48.63,0
-2.51,44.25,0
-0.19,43.93,0
-0.09,43.77,0
-2.42,37.06,0
-0.62,36.08,1
1.06,39.05,0
-1.78,36.01,1
1.39,39.89,0
-0.98,38.12,0
-0.71,36.84,0
-2.48,32.78,0
-2.42,29.44,1
2.64,36.81,0
-1.27,34.87,1
1.16,38.03,1
0.26,38.77,1
1.42,42.74,0
-2.16,38.6,0
-0.02,38.57,1
0.97,41.46,1
2.58,48.47,1
2.72,54.78,0
-0.27,54.06,0
-0.53,52.58,1
0.14,52.96,1
2.03,57.97,1
0.36,58.83,0
-0.53,57,0
-1.96,50.68,0
0.21,39.03,1
0.51,40.64,0
-0.99,38.51,0
-1.06,36.34,1
0.71,38.82,1
0.18,39.46,1
2.04,46.38,0
-0.31,45.51,0
-1.04,42.62,0
-2.32,37.07,1
1.52,42.27,0
-5.5,31.87,0
-2.67,28.41,0
-0.39,27.95,1
2.08,34.12,1
1.87,39.25,0
-0.16,38.96,1
0.72,41.03,1
2.16,46.89,1
3.1,54.09,1
2.94,59.83,0
-0.79,57.69,1
1.42,60.42,1
1,62.29,1
2.38,66.41,0
-0.44,64.95,1
1.13,66.93,0
-1.52,61.8,0
-0.83,59.18,1
0.39,60.03,0
-2.39,52.75,0
-3.38,44.7,1
1.34,47.96,0
-0.3,47.27,1
2.23,52.66,0
-0.74,50.77,1
0.38,51.74,1
0.18,52.21,1
0.8,53.71,1
1.49,57.77,0
-0.41,56.29,1
0.22,56.93,0
-0.31,55.68,0
-0.93,52.03,0
-1.49,46.8,1
0.76,49.55,0
-0.66,47.26,0
-0.29,46.24,0
-1.24,42.14,1
0.87,45.75,0
-1.36,41.39,1
0.45,43.31,0
-0.05,43.13,0
-2.03,36.86,0
-1.46,33.2,0
-0.8,31.39,0
-2.65,26.3,1
0.02,26.41,0
-1.13,24.5,0
-1.08,22.82,1
0.7,26.3,1
3.2,39.78,1
2.27,47.36,1
-0.57,45.01,1
1.76,50.83,0
-0.38,49.57,1
1.56,54.47,0
-0.18,53.8,1
0.22,54.51,1
0.65,56.66,1
0.03,56.75,1
0.34,57.96,0
-1.58,50.79,1
0.32,52.06,0
-1.72,45.26,1
5.14,61.28,0
-0.46,59.53,1
0.57,61.01,1
1.54,64.81,1
1.23,67.58,0
-0.17,66.77,1
0.92,68.88,1
1.28,71.62,1
1.49,74.47,0
-0.89,69.87,0
-0.06,69.58,0
-0.85,65.19,0
-1.42,58.61,1
2.84,65.9,1
4.75,74.29,1
1.82,76.77,0
-0.12,76.25,1
0.89,77.48,1
1.08,78.93,0
-1.31,72.73,1
0.26,73.17,1
0.12,73.38,0
-0.39,71.39,1
0.39,72.21,0
-2.86,58.88,1
0.47,60.16,1
0.16,60.61,0
2.07,63.61,0
-0.69,60.49,1
0.6,62.21,1
1.6,66.45,0
-2.28,56.54,0
-5.44,41.11,1
1.06,44.14,0
-1.65,40.62,0
-3.18,34.92,1
1.16,38.2,1
2.06,43.71,1
1.64,47.79,0
-1.04,45.51,1
4.97,56.2,0
-0.31,55.43,0
-1.55,51.65,1
0.97,53.75,0
-0.71,51.95,0
-1.24,48.9,1
2.35,54.3,1
0.33,55.03,0
-1.26,51.62,0
-0.08,51.4,1
0.98,53.94,0
-1.4,49.9,1
1.17,53.04,1
0.63,54.69,1
0.65,56.41,1
0.66,58.15,1
0.53,59.57,1
0.49,60.89,1
0.68,62.71,1
0.87,64.99,1
2.45,70.5,0
-0.29,69.1,1
0.98,71.2,1
1.32,73.82,0
-1.12,68.11,1
0.75,69.77,0
-2.49,58.69,1
1.59,62.67,0
-0.42,60.98,0
-0.51,58.9,1
1.29,62.37,0
-0.25,61.29,0
-0.86,57.55,0
-1.62,51.29,1
1.57,56.2,0
-0.29,55.08,1
0.18,55.69,1
0.12,56.1,1
1.45,60.85,0
-0.6,58,0
-1.21,52.68,1
0.18,53.35,0
-0.88,49.62,1
1.19,54.26,0
-0.26,53.11,1
0.76,56.06,1
1.84,62.32,1
-0.87,68.12,1
2.74,73.54,0
-0.23,72.38,1
0.51,73.37,0
-1.39,66.39,1
1.14,68.97,0
-0.16,68.2,0
-0.74,64.48,0
-0.15,63.75,0
-1.09,58.42,1
0.55,60.22,0
-0.45,58.01,0
-0.76,54.39,0
-1.15,49.44,1
0.84,52.79,1
3.84,64.49,0
-0.68,56.67,0
-0.99,52.59,1
-2.2,43.88,1
0.55,45.86,0
-0.72,43.68,1
0.63,46.1,0
-1.28,42.13,0
-0.67,40.21,1
0.52,42.42,1
1.99,50.01,1
2.01,56.38,0
-0.56,54.27,0
0.44,52.38,1
0.85,54.94,0
-1.82,48.82,1
0.81,51.37,0
-7.99,33.48,0
-1.14,31.91,0
-0.19,31.64,1
0.16,32.16,1
0.19,32.79,1
1.45,37.62,1
0.75,40.04,0
-0.02,40.01,1
1.4,44.71,1
1.79,50.17,1
1.32,53.85,0
-0.01,53.83,1
1.59,58.19,0
-1.58,52.81,0
-1.16,48.86,0
-1.11,45.4,1
0.44,46.98,0
-1.04,43.73,0
-0.9,41.1,1
1.99,48.41,0
-0.27,47.53,1
0.29,48.6,1
0.66,51.06,1
0.21,51.86,0
-0.3,50.59,0
-0.06,50.33,1
0.09,50.75,1
0.97,55.12,1
0.1,55.55,0
-1.11,49.7,0
-1.12,44.64,1
0.39,46.65,1
0.88,51.01,0
-0.03,50.88,0
-0.48,48.37,1
0.79,52.48,1
1.19,57.95,1
1.08,62.25,0
-0.96,56.65,0
-0.43,54.31,0
-0.11,53.69,0
-0.02,53.56,1
0.91,58.08,1
0.17,58.87,0
-0.69,54.27,0
-1.29,46.94,0
-1.57,39.98,0
-0.01,39.96,1
1.31,47.41,0
-1.29,41.85,0
-0.74,39.06,1
0.4,41.31,0
-0.71,38.55,1
0.2,39.77,1
0.1,52.6,0
-1.31,46.16,1
8.2,70.35,1
0.73,71.68,1
3.87,77.46,0
-0.3,76.13,0
-0.38,74.38,1
0.24,74.77,1
0.19,75.09,1
1.41,77.44,0
-1.09,71.73,0
-0.35,69.97,0
-0.73,66.31,0
-0.42,64.26,1
1.25,67.48,1
0.16,67.87,1
0.02,67.92,0
-0.85,63.08,1
1.48,67.39,1
1.18,70.42,1
0.02,70.47,1
0.26,71.17,1
0.16,71.6,1
-0.26,76.74,1
1.82,80.24,0
-0.37,77.61,0
-0.69,72.9,1
1.41,76.09,1
1.14,78.34,1
0.39,79.08,0
-0.27,77.09,1
1.6,80.2,1
0.59,81.22,0
-0.41,78.14,0
-1.67,67.1,0
-1.09,61.12,1
1.01,64.25,0
-0.13,63.53,1
0.11,63.89,0
-0.35,61.78,0
-1.03,55.87,0
-0.09,55.39,0
-0.61,52.07,1
0.09,52.52,1
0.6,55.52,1
1.19,60.85,1
1.03,64.85,1
0.63,67.09,0
-0.04,66.78,1
-0.65,70.27,1
0.04,70.4,0
-0.37,67.61,1
0.19,68.31,1
1.29,72.63,0
-1.17,63.99,0
-0.57,60.3,0
-1.78,50.49,1
1.44,56.53,0
-0.52,53.94,1
0.83,57.29,1
2.61,65.79,0
-0.16,64.89,1
0.66,66.85,1
1.38,70.57,0
-0.65,66.74,0
-0.23,65.37,0
-2.6,52.49,1
0.55,54.5,0
-0.56,52.08,0
-0.49,50,0
-0.17,49.28,0
-0.51,47.09,1
0.28,48.43,1
1.32,54.4,0
-0.02,54.29,1
1.32,59.77,1
0.27,60.8,1
0.49,62.71,1
1.2,66.97,1
1.38,71.1,1
0.04,71.21,1
0.01,71.24,1
0.74,73.46,1
0.22,74.11,0
-0.64,68.81,1
1.23,72.8,1
0.12,73.16,1
-4.22,49.92,0
-0.83,46.66,1
0.87,50.29,0
-0.62,47.78,0
-0.38,46.27,1
3.07,57.92,1
0.43,59.28,1
0.23,60.02,0
-0.03,59.87,0
-0.76,55.91,1
0.71,58.66,1
0.21,59.45,0
-0.82,54.96,1
0.1,55.4,1
1.56,61.72,0
-0.87,56.83,0
-3.81,41.43,1
2.94,51.86,0
-0.64,49.74,1
0.64,51.86,0
-1.56,46.66,1
0.73,49.18,0
-0.28,48.22,1
0,48.22,0
-0.87,45.08,1
2.08,52.88,1
0.22,53.64,0
-0.29,52.44,0
-0.91,48.71,0
-1.06,44.76,0
-1.23,40.7,0
-1.31,36.89,1
1.46,43.2,1
2.14,51.01,1
2.72,58.91,1
0.51,60.23,1
1.79,64.58,1
0.37,65.45,0
-0.1,64.97,1
1.55,68.64,1
0.56,69.89,0
-0.34,68.14,1
0.95,70.41,1
1.3,73.23,0
-0.73,69.17,1
0.24,69.76,0
-0.15,68.89,1
0.29,69.68,0
-0.17,68.59,1
0.8,70.95,1
1.41,74.6,1
1.41,77.67,1
1.21,79.93,0
-0.17,78.73,1
1.3,81.11,0
-0.69,76.15,1
1.43,78.99,1
0.14,79.25,1
1.85,82.4,0
-0.87,76.43,1
-3.25,60,0
-0.38,58.32,1
1.13,61.72,0
-0.38,59.94,0
-0.42,57.94,0
-2.26,48.64,1
1.53,53.91,0
-1.9,47.32,0
-0.29,46.39,0
-1.69,41.37,0
-1.37,37.88,0
-1.37,34.76,1
2.49,43.73,1
2.96,52.33,0
-0.77,50.12,1
1.04,52.98,0
-0.35,51.87,0
-0.07,55.29,0
-1.22,50.99,0
-2.82,36.1,1
0.01,36.13,1
1.4,41.16,1
3.84,52.38,1
0.11,52.66,0
-2.46,45.93,1
0.89,48.43,0
-0.38,47.41,0
-2.71,40.83,0
0.76,48.81,1
2.6,55.26,1
0.52,56.47,1
0.11,56.72,0
-3.5,46.82,1
5.65,58.87,1
3.11,63.98,0
-1.46,60.08,1
1.25,62.18,1
0.02,62.21,1
0.77,63.58,1
