pp,Result
-0.015035517318576858,1
-0.013321692347541972,0
-0.01761454426849587,0
-0.013890058296339282,0
-0.01674781288976132,0
-0.009643837269685766,0
-0.013762724938341762,1
-0.012408044669382785,0
-0.012772979823505407,1
-0.011522947086843129,1
0.004408664848820241,1
-0.0009375708891664076,1
-0.001980742420259393,1
-0.002143441744472841,1
-0.0014565092158327771,1
-0.0034953690113282494,1
0.00011199963860730902,1
-0.0023243313075055373,1
0.0011627892444941626,1
0.007320858484400443,1
0.0003236569693786581,1
0.0037383146701033105,1
0.00876862826836544,1
0.005782267220146732,1
0.0066706088315501445,1
0.018687064688235097,1
0.018494753556002455,1
0.01787450316696979,1
0.018011484209212274,1
0.014145688120398308,1
0.017732176443411272,1
0.017046875271676237,1
0.013105085805690796,1
0.01467393886156007,1
0.01650704109730261,1
0.0013944458235005017,1
0.0008166914535927499,0
0.0034090620760610737,1
0.0035155533577417232,0
0.004898545823691364,0
0.0015290089935813564,0
0.0023545055485880363,0
0.0023988451540161047,0
0.005276955811035864,0
0.00481123089743941,0
0.0056126554738593895,0
-0.005208261181493955,0
0.008302956344220283,0
-0.0064417380181241955,1
-0.011627313808832756,1
-0.007076758313139803,1
-0.014076793550277664,0
-0.013394283089888803,0
-0.0018873386416127257,0
-0.02467694316785375,0
-0.023303501251098438,0
-0.012888328288678263,0
-0.02488970056846208,0
0.002061493333736157,0
0.006950006837673617,0
0.00682799574559031,0
-0.010965798218181246,0
-0.02498885760371263,1
-0.039265671621763094,1
-0.019869986595354314,1
-0.01886083870272131,1
-0.019254250642102903,1
-0.02073105884964794,1
-0.032552012848370344,1
-0.03220719300575334,1
-0.036484588472860256,1
-0.00975032403112514,0
0.003001882349612011,0
0.004241525474456889,1
0.020816803035664008,1
0.020143266697776073,1
0.021502734727486202,1
0.0047407174897249075,1
0.015935116354131626,1
0.009815233213773429,1
0.016028917843721756,1
-0.003947214114399695,1
-0.000663777262014042,1
0.0035549353679108996,1
0.0034136369638002226,1
0.0007933052167938779,1
0.00030491038992809495,1
0.02200785678220821,0
0.00543292314410546,0
0.007700855615351181,1
0.005096730537414814,1
0.020814508779198455,1
0.020158371759295447,1
0.015189528938857605,1
0.00032141057581737295,1
0.013300497795084323,0
0.00045442845929161125,1
-0.004047569510244457,1
-0.0014736111039034656,1
0.0002845918536179626,1
0.00036354093666255457,1
0.0036437817882351694,1
0.0037372774947499444,1
0.0029704498349096375,1
0.0023311172788053887,1
-0.01021800057713966,1
0.0616430320726574,0
0.062429875171651564,0
0.064830277299195,0
0.062218680104594026,0
0.06320225205201754,0
0.05958552892640557,0
0.05859913581799897,0
0.05908694949714915,0
0.05989159571756192,0
0.060852068243595576,0
-6.58099333864236e-05,1
-0.0012994923179749603,1
-0.0022981003555132182,1
-0.0017420421297246217,1
-0.0017515988295296837,1
-0.0042111077790749855,1
-0.0006195232421596896,0
-0.003566397856798072,1
-0.003079511493721986,1
-0.0003499482297816159,0
0.0021238271555174973,0
0.0002459992002623775,0
0.0014941181276534436,0
0.002535129629533601,0
0.0007899997140347843,0
0.005605158927862327,0
-0.00048438218280452515,0
0.0026786663594102578,0
0.0008011633539489736,0
-0.00016637231778396445,0
-0.003135532765395269,0
-0.0022946059771588186,0
-0.0012031471202436914,0
-0.0027357249552210825,0
-0.0011005563898440988,0
-0.0025540301688217527,1
-0.0004598804837226266,1
-0.0013100912315307837,1
-0.001792908455996929,1
-0.005802036109677288,1
-0.004390527767840471,1
-0.0025088150953637995,0
-0.0029982404231177376,1
-0.0022024331367316422,0
-0.0006059415561862731,0
0.0029812317170864635,1
0.00340566789454032,0
0.008423827190205754,0
0.007276055089545021,0
0.008990914836546744,0
0.009475233826596954,0
-0.000860210989998635,1
0.006503033733072537,0
-0.0022177359920894303,1
-0.005161723254804016,1
0.0007370664521664047,0
-0.00035400085331830863,0
-0.005612501711646927,0
-0.0032196721360544652,0
-0.008044353022606865,1
-0.0011749581041415023,0
0.009499971420694186,0
-0.007333938857600232,0
0.002451836788865473,0
0.0026899463895157564,1
-0.0075165494857669605,1
-0.006598033613858715,1
-0.004738215046995074,1
-0.004602912945462195,1
0.0014387636049626516,1
-0.013742454408736776,1
-0.014777590702745098,1
-0.00690022244853175,1
-0.008202326055037842,1
0.00012862001795629487,1
0.001767204558084516,1
0.0004359380607993353,1
0.0024388185597432957,1
0.006885848661081039,1
0.0070747017249787655,0
0.015936214388432825,0
0.015954512845323197,0
0.016197331524174165,0
0.018730911120205817,0
0.002469094478842277,0
0.0010882197353005048,0
0.00376401483061611,0
0.008149954310513866,0
0.00011943139172146402,0
-0.009627099529348891,0
-0.020955122720508246,1
-0.010469849887798763,0
-0.01743319860884018,1
-0.020221062739808386,1
-0.00462330126262846,1
-0.0043306042204644445,0
-0.006905133767801183,0
-0.013605575024767417,1
-0.00942829444502724,0
-0.008103249769808732,1
0.012478846558037666,0
-0.0065740896966444,0
0.008054823480332304,0
0.0007282041139826934,1
0.00177829386861062,0
-0.00016122274966525257,1
-0.011675742639442644,1
8.911203513934224e-05,1
-0.0017614708464287377,0
0.008027893021911621,0
